Биггин Хилл;Biggin Hill;ГБ;BQH
Билефельд;Bielefeld;ДЕ;BFE
Биллунд;Billund;DK;BLL
Бильбао;Bilbao;ES;BIO
Бинтулу;Bintulu;MY;BTU
Бирмингем;Birmingham;ГБ;BHX
Бисау;Bissau;GW;OXB
Бишкек;Bishkek;КГ;FRU
Благовещенск;Blagoveschensk;РФ;BQS
Блэкпул;Blackpool;ГБ;BLK
Бобо Диуласо;Bobo Dioulasso;BF;BOY
Богота;Bogota;CO;BOG
Бодо;Bodo;NO;BOO
Бодрум;Bodrum;ТР;BXN
Болонья;Bologna;IT;BLQ
Бонн;Bonn;ДЕ;BNJ
Бордо;Bordeaux;FR;BOD
Борнхольм;Bornholm;DK;RNN
Бостон;Boston;US;BOS
Браззавиль;Brazzaville;CG;BZV
Бразилиа;Brasilia;BR;BSB
Брайз Нортон;Brize Norton;ГБ;BZZ
Братислава;Bratislava;SK;BTS
Братск;Bratsk;РФ;BTK
Брауншвейг;Braunschweig;ДЕ;BWE
Бремен;Bremen;ДЕ;BRE
Брест;Brest;FR;BES
Брест;Brest;БЛ;BQT
Бриджтаун;Bridgetown;BB;BGI
Бриндизи;Brindisi;IT;BDS
Брисбан;Brisbane;AU;BNE
Бристоль;Bristol;ГБ;BRS
Брно;Brno;ЦЗ;BRQ
Брюссель;Brussels;BE;BRU
Брянск;Briansk;РФ;BZK
Бугульма;Bugulma;РФ;UUA
Будапешт;Budapest;HU;BUD
Бужумбура;Bujumbura;BI;BJM
Бургас;Bourgas;BG;BOJ
Бурленге;Borlange;SE;BLE
Бурса;Bursa;ТР;BTZ
Бухара;Bukhara;УЗ;BHK
Бухарест;Bucharest;RO;BUH
Бухта Провидения;Provideniya;РФ;PVS
Буэнос Айрес;Buenos Aires;AR;BUE
Вааса;Vaasa;FI;VAA
Ваддингтон;Waddington;ГБ;WTN
Вадсе;Vadso;NO;VDS
Вакканай;Wakkanai;JP;WKJ
Валанс;Valence;FR;VAF
Валенсия;Valencia;ES;VLC
Ван;Van;ТР;VAN
Ванкувер;Vancouver;CA;YVR
Варкаус;Varkaus;FI;VRK
Варна;Varna;BG;VAR
Варшава;Warszawa;PL;WAW
Вастерас;Vasteras;SE;VST
Вашингтон;Washington;US;WAS
Великие Луки;Velikiye Luki;РФ;VLU
Великий Новгород;Velikij Novgorod;РФ;NVR
Великий Устюг;Velikij Ustyug;РФ;VUS
Веллингтон;Wellington;NZ;WLG
Вена;Vienna;AT;VIE
Венеция;Venezia;IT;VCE
Венсдрехт;Woensdrecht;NL;WOE
Верона;Verona;IT;VRN
Вестервик;Vastervik;SE;VVK
Вестерланд;Westerland;ДЕ;GWT
Вестчестер Каунти;White Plains;US;HPN
Виго;Vigo;ES;VGO
Виктория;Victoria Intl.;US;VCT
Вилмингтон;Wilmington;US;ILM
Вильнюс;Vilnius;LT;VNO
Виндзор Локс;Windsor Locks;US;BDL
Виндхук;Windhoek;NA;WDH
Виннипег;Winnipeg Intl;CA;YWG
Винница;Vinnica;УА;VIN
Висбю;Visby;SE;VBY
Витебск;Vitebsk;БЛ;VTB
Витория;Vitoria;ES;VIT
Владивосток;Vladivostok;РФ;VVO
Владикавказ;Vladikavkaz;РФ;OGZ
Волгоград;Volgograd;РФ;VOG
Волгодонск;Volgodonsk;РФ;VLK
Вологда;Vologda;РФ;VGD
Воркута;Vorkuta;РФ;VKT
Воронеж;Voronezh;РФ;VOZ
Вроцлав;Wroclaw;PL;WRO
Вьентьян;Vientiane;LA;VTE
Гавана;Havana;CU;HAV
Гавле;Gavle;SE;GVX
Гавр;Le Havre;FR;LEH
Газа;Gaza City;PS;GZA
Галена;Galena;US;GAL
Галифакс;Halifax;CA;YHZ
Гамбург;Hamburg;ДЕ;HAM
Гандер;Gander;CA;YQX
Ганновер;Hanover;ДЕ;HAJ
Гаосюн;Kaohsiung;TW;KHH
Гвадалахара;Guadalajara;MX;GDL
Гватемала;Guatemala City;GT;GUA
Гданьск;Gdansk;PL;GDN
Геленджик;Gelendzik;РФ;GDZ
Генуя;Genoa;IT;GOA
Герат;Herat;AF;HEA
Герона;Gerona;ES;GRO
Гетеборг;Gothenburg;SE;GOT
Глазго;Glasgow;ГБ;GLA
Глостер;Gloucester;ГБ;GLO
Гоа;Goa;ИН;GOI
Гомель;Gomel;БЛ;GME
Гонконг;Hong Kong;ЦН;HKG
Гонолулу;Honolulu;US;HNL
Горна-Оряховица;Gorna Orechovitca;BG;GOZ
Грац;Graz;AT;GRZ
Гродно;Grodno;БЛ;GNA
Грозный;Groznyj;РФ;GRV
Гронинген;Groningen;NL;GRQ
Гроссето;Grosseto;IT;GRS
Гуам;Guam;GU;GUM
Гуанчжоу;Guangzhou;ЦН;CAN
Гурнсей;Guernsey;ГБ;GCI
Гус Бей;Goose Bay;CA;YYR
Гюмри;Gyoumri;АМ;LWN
Гянджа;Gyandzha;АЗ;KVD
Дакар;Dakar;SN;DKR
Дакка;Dhaka;BD;DAC
Даламан;Dalaman;ТР;DLM
Даллас;Dallas;US;DFW
Далянь;Dalian;ЦН;DLC
Дамаск;Damascus;SY;DAM
Дананг;Da Nang;VN;DAD
Дарвин;Darwin;AU;DRW
Дар-эс-Салам;Dar Es Salaam;TZ;DAR
Даугавпилс;Daugavpils;LV;DGP
Дахран;Dhahran;SA;DHA
Дашховуз;Dashoguz;ТМ;TAZ
Дебрецен;Debrecen;HU;DEB
Дели;Delhi;ИН;DEL
Денпасар;Denpasar Bali;ID;DPS
Детройт;Detroit;US;DTT
Джакарта;Jakarta;ID;JKT
Джерба;Djerba;TN;DJE
Джибути;Djibouti;DJ;JIB
Джидда;Jeddah;SA;JED
Джорджтаун;Georgetown;GY;GEO
Джуно;Juneau;US;JNU
Дижон;Dijon;FR;DIJ
Диксон;Dikson;РФ;DKS
Диллингхем;Dillingham;US;DLG
Динард;Dinard;FR;DNR
Диярбакыр;Diyarbakir;ТР;DIY
Днепропетровск;Dnepropetrovsk;УА;DNK
Довер-Чесуолд;Dover-Cheswold;US;DOV
Довилль;Deauville;FR;DOL
Доле;Dole;FR;DLE
Донецк [УКР];Donetsk;УА;DOK
Дортмунд;Dortmund;ДЕ;DTM
Доха;Doha;QA;DOH
Дрезден;Dresden;ДЕ;DRS
Дуала;Douala;CM;DLA
Дубай;Dubai;АЕ;DXB
Дублин;Dublin;IE;DUB
Дубровник;Dubrovnik;HR;DBV
Душанбе;Dushanbe;ТД;DYU
Дюссельдорф;Dusseldorf;ДЕ;DUS
Екатеринбург;Ekaterinburg;РФ;SVX
Еммен;Emmen;CH;EML
Енисейск;Eniseysk;РФ;EIE
Ереван;Yerevan;АМ;EVN
Ессен;Essen;ДЕ;ESS
Жайрем;Zhairem;КЗ;HRC
Жезказган;Zhezhazgan;КЗ;DZN
Женева;Geneva;CH;GVA
Жешув;Rzeszow;PL;RZE
Житомир;Zhitomir;УА;ZTR
Загреб;Zagreb;HR;ZAG
Зайсан;Zaisan;КЗ;SZI
Закинтос;Zakinthos;GR;ZTH
Зальцбург;Zalzburg;AT;SZG
Запорожье;Zaporozhye;УА;OZH
Захедан;Zahedan;IR;ZAN
Зелена Гура;Zielona Gora;PL;IEG
Злин;Zlin;ЦЗ;GTW
Ибиза;Ibiza;ES;IBZ
Ивало;Ivalo;FI;IVL
Иваново;Ivanovo;РФ;IWA
Ивано-Франковск;Ivano-Frankovsk;УА;IFO
Игарка;Igarka;РФ;IAA
Иерусалим;Jerusalem;IL;JRS
Ижевск;Izhevsk;РФ;IJK
Измир;Izmir;ТР;IZM
Изумо;Izumo;JP;IZO
Иквалуит;Iqaluit;CA;YEB
Иливиеске;Ylivieska;FI;YLI
Инвернесс;Inverness;ГБ;INV
Ингольштадт;Ingolstadt;ДЕ;ZNQ
Индианаполис;Indianapolis;US;IND
Инсбрук;Innsbruck;AT;INN
Инта;Inta;РФ;INA
Инувик;Inuvik;CA;YEV
Иокогама;Yokohama;JP;YOK
Ионкопинг;Jonkoping;SE;JKG
Ираклион;Heraklion;GR;HER
Иркутск;Irkutsk;РФ;IKT
Исламабад;Islamabad;ПК;ISB
Испарта;Isparta;ТР;ISE
Истрис;Istres;FR;QIE
Исфахан;Isfahan;IR;IFN
Йеллоунайф;Yellowknife;CA;YZF
Йоханнесбург;Johannesburg;ZA;JNB
Йошкар-Ола;Joshkar-Ola;РФ;JOK
Йоэнсу;Joensuu;FI;JOE
Кабул;Kabul;AF;KBL
Кавала;Kavala;GR;KVA
Кагосима;Kagoshima;JP;KOJ
Кадьяк;Kodiak;US;ADQ
Каен;Caen;FR;CFR
Казань;Kazan;РФ;KZN
Каир;Cairo;EG;CAI
Калгари;Calgary;CA;YYC
Кали;Cali;CO;CLO
Калининград;Kaliningrad;РФ;KGD
Калиспелл;Kalispell;US;FCA
Калмар;Kalmar;SE;KLR
Калуга;Kaluga;РФ;KLF
Калькутта;Kolkata;ИН;CCU
Кальяри;Cagliari;IT;CAG
Камагуэй;Camaguey;CU;CMW
Каменец-Подольский;Kamenets-Podolskiy;УА;KCP
Кампала;Kampala;UG;KLA
Канадзава;Kanazawa;JP;QKW
Канберра;Canberra;AU;CBR
Канзас Сити;Kansas City;US;MKC
Канкун;Cancun;MX;CUN
Канн;Cannes;FR;CEQ
Кано;Kano;NG;KAN
Караганда;Karaganda;КЗ;KGF
Каракас;Caracas;VE;CCS
Карансебес;Caransebes;RO;CSB
Карачи;Karachi;ПК;KHI
Кардифф;Cardiff;ГБ;CWL
Карлови-Вари;Karlovy Vary;ЦЗ;KLV
Каруп;Karup;DK;KRP
Карши;Karshi;УЗ;KSQ
Касабланка;Casablanca;MA;CAS
Катания;Catania;IT;CTA
Катманду;Kathmandu;NP;KTM
Катовице;Katowice;PL;KTW
Каунас;Kaunas;LT;KUN
Кахор;Cahors;FR;ZAO
Каяни;Kajaani;FI;KAJ
Квебек;Quebec;CA;YQB
Кветта;Quetta;ПК;UET
Кеймбридж Бей;Cambridge Bay;CA;YCB
Кейптаун;Cape Town;ZA;CPT
Кельн;Cologne;ДЕ;CGN
Кембридж;Cambridge;ГБ;CBG
Кемерово;Kemerovo;РФ;KEJ
Кеми;Kemi [Tornio];FI;KEM
Кемп Спрингс;Camp Springs;US;ADW
Кенай;Kenai;US;ENA
Керкира;Kerkira;GR;CFU
Керман;Kerman;IR;KER
Керманшах;Kermanshah;IR;KSH
Керчь;Kerch;УА;KHC
Кетчикан;Ketchikan Intl;US;KTN
Кефалиния;Kefallinia;GR;EFL
Кигали;Kigali;RW;KGL
Киев;Kiev;УА;IEV
Килиманджаро;Kilimanjaro;TZ;JRO
Киль;Kiel;ДЕ;KEL
Кинг Салмон;King Salmon;US;AKN
Кингдао;Qingdao;ЦН;TAO
Кингстон;Kingston;JM;KIN
Киншаса;Kinshasa;ZR;FIH
Киркенес;Kirkenes;NO;KKN
Киров;Kirov;РФ;KVX
Кировоград;Kirovograd;УА;KGO
Кировск;Kirovsk;РФ;KVK
Кируна;Kiruna;SE;KRN
Китее;Kitee;FI;KTQ
Кито;Quito;EC;UIO
Киттила;Kittila;FI;KTT
Киш;Kish I.;IR;KIH
Кишинев;Chisinau;МД;KIV
Клагенфурт;Klagenfurt;AT;KLU
Клайпеда;Klaipeda;LT;KLJ
Клермон-Ферран;Clermont-Ferrand;FR;CFE
Клуж;Cluj;RO;CLJ
Ковентри;Coventry;ГБ;CVT
Когалым;Kogalym;РФ;KGP
Кокосовые острова;Cocos Islands;CC;CCK
Кокчетав;Kokshetau;КЗ;KOV
Колд Бай;Cold Bay;US;CDB
Колд Лайк;Cold Lake;CA;YOD
Коломбо;Colombo;LK;CMB
Комсомольск-на-Амуре;Komsomolsk Na Amure;РФ;KXK
Кона;Kona;US;KOA
Конакри;Conakry;GN;CKY
Константина;Constantine;DZ;CZL
Констанца;Constanta;RO;CND
Конья;Konya[Mil];ТР;KYA
Копенгаген;Copenhagen;DK;CPH
Кордова;Cordova;US;CDV
Корк;Cork;IE;ORK
Кос;Kos;GR;KGS
Костанай;Kostanay;КЗ;KSN
Кострома;Kostroma;РФ;KMW
Котабато;Cotabato;PH;CBO
Котлас;Kotlas;РФ;KSZ
Котону;Cotonou;BJ;COO
Коцебу;Kotzebue;US;OTZ
Кошалин;Koszalin;PL;OSZ
Кошице;Kosice;SK;KSC
Крайстчерч;Christchurch;NZ;CHC
Краков;Krakow;PL;KRK
Краматорск;Kramatorsk;УА;KRQ
Краснодар;Krasnodar;РФ;KRR
Красноярск;Krasnojarsk;РФ;KJA
Крейл;Creil;FR;CSF
Кременчуг;Kremenchug;УА;KHU
Кривой Рог;Krivoy Rog;УА;KWG
Кристианстад;Kristianstad;SE;KID
Куала-Лумпур;Kuala Lumpur;MY;KUL
Куантан;Kuantan;MY;KUA
Кувейт;Kuwait;KW;KWI
Кумамото;Kumamoto;JP;KMJ
Куньмин;Kunming;ЦН;KMG
Куопио;Kuopio;FI;KUO
Курган;Kurgan;РФ;KRO
Курск;Kursk;РФ;URS
Кусамо;Kuusamo;FI;KAO
Кусиро;Kushiro;JP;KUH
Кутаиси;Kutaisi;ГР;KUT
Куфра;Kufra;LY;AKF
Кызыл;Kyzyl;РФ;KYZ
Кызылорда;Kzyl-Orda;КЗ;KZO
Лагос;Lagos;NG;LOS
Лайнехам;Lyneham;ГБ;LYE
Лакхнау;Lucknow;ИН;LKO
Ламеция;Lamezia;IT;SUF
Ланзароте;Lanzarote;ES;ACE
Ланьчжоу;Lanzhou;ЦН;ZGC
Ла-Пас;La Paz;BO;LPB
Лаппенранта;Lappeenranta;FI;LPP
Ларнака;Larnaca;CY;LCA
Лас-Вегас;Las Vegas;US;LAS
Лас-Пальмас;Las-Palmas;ES;LPA
Латакия;Latakia;SY;LTK
Лахор;Lahore;ПК;LHE
Лейпциг;Leipzig;ДЕ;LEJ
Лелейстад;Lelystad;NL;LEY
Лемвердер;Lemwerder;ДЕ;XLW
Либревиль;Libreville;GA;LBV
Ливерпуль;Liverpool;ГБ;LPL
Лидкопинг;Lidkoping;SE;LDK
Лидс;Leeds and Bradford;ГБ;LBA
Лиепая;Liepaya;LV;LPX
Лилль;Lille;FR;LIL
Лилонгве;Lilongwe;MW;LLW
Лима;Lima;PE;LIM
Лимассол;Limassol;CY;QLI
Лиме Акрес;Lime Acres;ZA;LMR
Лимож;Limoges;FR;LIG
Линкопинг;Linkoping;SE;LPI
Линц;Linz;AT;LNZ
Лион;Lyon;FR;LYS
Липецк;Lipetsk;РФ;LPK
Лиссабон;Lisbon;PT;LIS
Лодзь;Lodz;PL;QLZ
Лозанна;Lausanne;CH;QLS
Ломе;Lome;TG;LFW
Лонг Бич;Long Beach;US;LGB
Лонгйир;Longyearbyen;NO;LYR
Лондон;London;ГБ;LON
Лорьян;Lorient;FR;LRT
Лос-Анджелес;Los Angeles;US;LAX
Луанг Прабанг;Luang Prabang;LA;LPQ
Луанда;Luanda;AO;LAD
Лугано;Lugano;CH;LUG
Луганск;Lugansk;УА;VSG
Луксор;Luxor;EG;LXR
Лулео;Lulea;SE;LLA
Лусака;Lusaka;ZM;LUN
Луцк;Lutsk;УА;UCK
Львов;Lvov;УА;LWO
Льеж;Liege;BE;LGG
Любляна;Ljubljana;SI;LJU
Люксембург;Luxembourg;LU;LUX
Маастрихт;Maastrichht;NL;MST
Маврикий;Mauritius;MU;MRU
Магадан;Magadan;РФ;GDX
Магдагачи;Magdagachi;РФ;GDG
Магнитогорск;Magnitogorsk;РФ;MQF
Мадрас;Madras;ИН;MDJ
Мадрид;Madrid;ES;MAD
Мазар-И-Шариф;Mazar-I-Sharif;AF;MZR
Майами;Miami;US;MIA
Макау;Macau;MO;QMP
Малабо;Malabo;GQ;SSG
Малага;Malaga;ES;AGP
Мале;Male;MV;MLE
Мальме;Malmo;SE;MMA
Мальта;Malta;MT;MLA
Манагуа;Managua;NI;MGA
Мангейм;Mannheim-Neuostheim;ДЕ;MHG
Манзини;Manzini;SZ;MTS
Манила;Manila;PH;MNL
Манстон;Manston;ГБ;NSE
Манчестер;Manchester;ГБ;MAN
Мапуту;Maputo;MZ;MPM
Марибо;Lolland Falster;DK;MRW
Марибор;Maribor;SI;MBX
Мариуполь;Mariupol;УА;MPW
Мармарис;Marmaris;ТР;QRQ
Марракеш;Marrakech;MA;RAK
Марсель;Marselle;FR;MRS
Маруди;Marudi;MY;MUR
Мары;Mary;ТМ;MYP
Масеру;Maseru;LS;MSU
Маскат;Muscat;OM;MCT
Махачкала;Makhachkala;РФ;MCX
Мацуяма;Matsuyama;JP;MYJ
Маэ;Mahe Island;SC;SEZ
Медан;Medan;ID;MES
Медельин;Medellin;CO;MDE
Меербуш;Meerbusch;ДЕ;ZOK
Мельбурн;Melbourne;AU;MEL
Меманбецу;Memanbetsu;JP;MMB
Мехико;Mexico;MX;MEX
Мец;Metz;FR;MZM
Мец-Нанси-Лорран;Metz-Nancy-Lorraine;FR;ETZ
Мешхед;Mashhad;IR;MHD
Мидланд;Midland;US;MAF
Миккели;Mikkeli;FI;MIK
Милан;Milan;IT;MIL
Милденхолл;Mildenhall;ГБ;MHZ
Минеральные Воды;Mineralnye Vody;РФ;MRV
Миннеаполис;Minneapolis-St Paul;US;MSP
Минск;Minsk;БЛ;MSQ
Миргород;Mirgorod;УА;MXR
Мирный;Mirnyj;РФ;MJZ
Мисава;Misawa;JP;MSJ
Миядзаки;Miyazaki;JP;KMI
Могадишо;Mogadishu;SO;MGQ
Могилев;Mogilev;БЛ;MVQ
Молде;Molde;NO;MOL
Момбаса;Mombasa;KE;MBA
Монако Монте Карло;Monaco;FR;XMM
Монастир;Monastir;TN;MIR
Монпелье;Montpeller;FR;MPL
Монпилир;Montpeller;US;MPV
Монреаль;Montreal;CA;YMQ
Монровия;Monrovia;LR;MLW
Монтевидео;Montevideo;UY;MVD
Морристаун;Morristown;US;MMU
Москва;Moscow;РФ;MOW
Муданьцзян;Mudanjiang;ЦН;MDG
Мултан;Multan;ПК;MUX
Мумбаи;Mumbai;ИН;BOM
Мурманск;Murmansk;РФ;MMK
Мюлуз;Mulhouse;FR;MLH
Мюнстер;Muenster;ДЕ;FMO
Мюнхен;Munich;ДЕ;MUC
Набережные Челны;Nabereznye Chelny;РФ;NBC
Навабшах;Nawabshah;ПК;WNS
Нагоя;Nagoya;JP;NGO
Нагпур;Nagpur;ИН;NAG
Нади;Nadi;FJ;NAN
Надым;Nadym;РФ;NYM
Найроби;Nairobi;KE;NBO
Нальчик;Nalchik;РФ;NAL
Наманган;Namangan;УЗ;NMA
Нанкин;Nanjing;ЦН;NKG
Нанси;Nancy;FR;ENC
Нант;Nantes;FR;NTE
Наньинг;Nanning;ЦН;NNG
Нарвик;Narvik;NO;NVK
Нарстад-Нарвик;Narstad-Narvik;NO;EVE
Нарьян-Мар;Naryan-Mar;РФ;NNM
Нассау;Nassau;BS;NAS
Науру;Nauru I.;NR;INU
Наха;Naha;JP;NAH
Нахичевань;Nakhichevan;АЗ;NAJ
Нджамена;Ndjamena;TD;NDJ
Ндола;Ndola;ZM;NLA
Неаполь;Naples;IT;NAP
Нейштадт-Глеве;Neustadt-Glewe;ДЕ;QGW
Нерюнгри;Neryungri;РФ;NER
Нефтекамск;Neftekamsk;РФ;NEF
Нефтеюганск;Nefteyugansk;РФ;NFG
Ниамей;Niamey;NE;NIM
Нижневартовск;Nizhnevartovsk;РФ;NJC
Нижний Новгород;Nizhniy Novgorod;РФ;GOJ
Ниигата;Niiagata;JP;KIJ
Никозия;Nicozia;CY;NIC
Николаев;Nikolaev;УА;NLV
Ним;Numes;FR;FNI
Нис;Nis;YU;INI
Ницца;Nice;FR;NCE
Новокузнецк;Novokuznetsk;РФ;NOZ
Новороссийск;Novorossijsk;РФ;NOI
Новый Орлеан;New Orleans;US;MSY
Новый Уренгой;Novy Urengoy;РФ;NUX
Ном;Nome;US;OME
Нордхольз-Спиека;Nordholz-Spieka;ДЕ;NDZ
Норильск;Norilsk;РФ;NSK
Норкопинг;Norrkoping;SE;NRK
Нортхолт;Northolt;ГБ;NHT
Ноттингем;Nottingham;ГБ;NQT
Ноябрьск;Nojabrxsk;РФ;NOJ
Нуадибу;Nouadhibou;MR;NDB
Нуакшот;Nouakchott;MR;NKC
Нукус;Nukus;УЗ;NCU
Нью Йорк;New York;US;NYC
Ньюарк;Newark;US;EWR
Ньюборг;Newburgh;US;SWF
Ньюкастл;Newcastle;ГБ;NCL
Нюрнберг;Nuremberg;ДЕ;NUE
Оберпфафенхофен;Oberpfaffenhofen;ДЕ;OBF
Овда;Ovda;IL;VDA
Оденсе;Odense;DK;ODE
Одесса;Odessa Central;УА;ODS
Оита;Oita;JP;OIT
Окаяма;Okayama;JP;OKJ
Оки;Oki;JP;OKI
Окинава;Okinawa;JP;OKA
Оклахома;Oklahoma;US;OKC
Окленд;Auckland;NZ;AKL
Окленд;Oakland;US;OAK
Оксфорд;Oxford;ГБ;OXF
Октябрьский [БАЛ];Oktiabrskij;РФ;OKT
Олбани;Albany Country;US;ALB
Олесунн;Alesund;NO;AES
Ольбия;Olbia;IT;OLB
Омск;Omsk;РФ;OMS
Онтарио;Ontario;US;ONT
Орадя;Oradea;RO;OMR
Оран;Oran;DZ;ORN
Оранж;Orange;FR;XOG
Оребро;Orebro;SE;ORB
Орел;Orel;РФ;OEL
Оренбург;Orenburg;РФ;REN
Орландо;Orlando;US;ORL
Орлеан;Orleans;FR;ORE
Орнскольдсвик;Ornskoldsvik;SE;OER
Орск;Orsk;РФ;OSW
Осака;Osaka;JP;OSA
Осан;Osan;KR;OSN
Осиек;Osijek;HR;OSI
Осло;Oslo;NO;OSL
Оснабрюк;Osnabruck-Atterheide;ДЕ;ZPE
Остенд;Ostend;BE;OST
Остерзунд;Ostersund;SE;OSD
Острава;Ostrava;ЦЗ;OSR
Остров Адак;Adak Island;US;ADK
Остров Мидуэй;Midway NAF;US;MDY
Остров Теркира;Lajes;PT;TER
Оттава;Ottawa;CA;YOW
Оулу;Oulu;FI;OUL
Оффенбах;Offenbach;ДЕ;ZOZ
Охотск;Okhotsk;РФ;OHO
Охрид;Ohrid;MK;OHD
Ош;Osh;КГ;OSS
Павлодар;Pavlodar;КЗ;PWQ
Падерборн;Paderborn;ДЕ;PAD
Падуя;Padova;IT;QPA
Паланга;Palanga;LT;PLQ
Палермо;Palermo;IT;PMO
Пальма Мальорка;Palma Mallorca;ES;PMI
Панама;Panama;PA;PTY
Паневежис;Panevezys;LT;PNV
Париж;Paris;FR;PAR
Парма;Parma;IT;PMF
Пафос;Paphos;CY;PFO
Певек;Pevek;РФ;PWE
Пекин;Pekin;ЦН;PEK
Пенза;Penza;РФ;PEZ
Пермь;Perm;РФ;PEE
Перпиньян;Perpignan;FR;PGF
Пертс;Perth;AU;PER
Пескара;Pescara;IT;PSR
Петрозаводск;Petrozavodsk;РФ;PES
Петропавловск [КЗХ];Petropavlovsk;КЗ;PPK
Петропавловск-Камчатский;Petropavlovsk-Kamchatsky;РФ;PKC
Печора;Pechora;РФ;PEX
Пешавар;Peshawar;ПК;PEW
Пиза;Piza;IT;PSA
Пинанг;Penang;MY;PEN
Питтсбург;Pittsburch;US;PIT
Пловдив;Plovdiv;BG;PDV
Пномпень;Phnom-Penh;KH;PNH
По;Po;BF;PUP
Подгорица;Podgorica;YU;TGD
Познань;Poznan;PL;POZ
Полтава;Poltava;УА;PLV
Полярный [ЯКТ];Polyarnyj;РФ;PYJ
Понтиак;Pontiak-Oakland;US;PTK
Пори;Pori;FI;POR
Порт Блаир;Port Blair;ИН;IXZ
Порт Моресби;Port Moresby;PG;POM
Порт Саид;Port Said;EG;PSD
Порт Харкорт;Port Harcourt;NG;PHC
Портленд;Portland;US;PDX
